Station Code,Station ID,Chinese Name,English Name,Lines,Is_Interchange,Barrier_Free_Facilities_Count,Facilities_AJ_Count,Facilities_HJ_Count,Facilities_MJ_Count,Facilities_VJ_Count,TRF,COM,BGD
ADM,2.0,金鐘,Admiralty,"EAL,ISL,SIL,TWL",True,22,3,7,4,8,0.0,0.0,0.0
AIR,47.0,機場,Airport,AEL,False,15,1,5,2,7,1.0,0.0,0.0
AUS,111.0,柯士甸,Austin,TML,False,21,3,5,4,9,1.0,1.0,0.0
AWE,56.0,博覽館,AsiaWorld-Expo,AEL,False,20,2,5,4,9,1.0,0.0,0.0
CAB,28.0,銅鑼灣,Causeway Bay,ISL,False,20,2,5,4,9,5.0,1.0,0.0
CEN,1.0,中環,Central,"ISL,TWL",True,20,2,5,4,9,3.0,1.0,0.0
CHH,12.0,彩虹,Choi Hung,KTL,False,20,2,5,4,9,6.0,5.0,0.0
CHW,37.0,柴灣,Chai Wan,ISL,False,20,2,5,4,9,1.0,9.0,0.0
CIO,98.0,第一城,City One,TML,False,21,2,5,4,10,2.0,3.0,0.0
CKT,96.0,車公廟,Che Kung Temple,TML,False,22,3,5,4,10,0.0,4.0,0.0
CSW,18.0,長沙灣,Cheung Sha Wan,TWL,False,20,2,5,4,9,0.0,7.0,0.0
DIH,11.0,鑽石山,Diamond Hill,"KTL,TML",True,24,4,7,4,9,5.0,3.0,1.0
DIS,55.0,迪士尼,Disneyland Resort,DRL,False,16,2,3,3,8,0.0,0.0,0.0
ETS,80.0,尖東,East Tsim Sha Tsui,TML,False,23,4,6,4,9,0.0,0.0,0.0
EXC,94.0,會展,Exhibition Centre,EAL,False,21,3,5,4,9,4.0,0.0,0.0
FAN,74.0,粉嶺,Fanling,EAL,False,23,4,5,4,10,0.0,5.0,0.0
FOH,30.0,炮台山,Fortress Hill,ISL,False,20,2,5,4,9,3.0,2.0,0.0
FOT,69.0,火炭,Fo Tan,EAL,False,22,3,5,4,10,3.0,1.0,0.0
HAH,51.0,坑口,Hang Hau,TKL,False,20,2,5,4,9,2.0,5.0,0.0
HEO,101.0,恆安,Heng On,TML,False,22,2,6,4,10,0.0,5.0,0.0
HFC,36.0,杏花邨,Heng Fa Chuen,ISL,False,20,2,5,4,9,0.0,1.0,0.0
HIK,90.0,顯徑,Hin Keng,TML,False,21,3,5,4,9,1.0,1.0,0.0
HKU,82.0,香港大學,HKU,ISL,False,21,3,5,4,9,0.0,3.0,0.0
HOK,44.0,香港,Hong Kong,"AEL,TCL",True,0,0,0,0,0,4.0,1.0,0.0
HOM,84.0,何文田,Ho Man Tin,"KTL,TML",True,24,3,7,4,10,13.0,3.0,4.0
HUH,64.0,紅磡,Hung Hom,"EAL,TML",True,23,4,5,5,9,7.0,0.0,4.0
JOR,4.0,佐敦,Jordan,TWL,False,20,2,5,4,9,1.0,0.0,0.0
KAT,91.0,啟德,Kai Tak,TML,False,20,2,5,4,9,0.0,2.0,0.0
KET,83.0,堅尼地城,Kennedy Town,ISL,False,21,3,5,4,9,0.0,5.0,1.0
KOB,13.0,九龍灣,Kowloon Bay,KTL,False,23,5,5,4,9,4.0,2.0,0.0
KOT,8.0,九龍塘,Kowloon Tong,"EAL,KTL",True,26,4,7,5,10,3.0,0.0,0.0
KOW,45.0,九龍,Kowloon,"AEL,TCL",True,0,0,0,0,0,2.0,1.0,0.0
KSR,115.0,錦上路,Kam Sheung Road,TML,False,21,3,5,4,9,0.0,0.0,0.0
KWF,22.0,葵芳,Kwai Fong,TWL,False,20,2,5,4,9,0.0,4.0,0.0
KWH,23.0,葵興,Kwai Hing,TWL,False,21,3,5,4,9,0.0,3.0,0.0
KWT,15.0,觀塘,Kwun Tong,KTL,False,21,3,5,4,9,7.0,4.0,1.0
LAK,21.0,茘景,Lai King,"TCL,TWL",True,20,2,5,4,9,5.0,3.0,0.0
LAT,38.0,藍田,Lam Tin,KTL,False,21,2,5,5,9,5.0,3.0,0.0
LCK,19.0,茘枝角,Lai Chi Kok,TWL,False,22,4,5,4,9,7.0,1.0,0.0
LET,88.0,利東,Lei Tung,SIL,False,19,3,5,4,7,2.0,2.0,0.0
LHP,57.0,康城,LOHAS Park,TKL,False,21,3,5,4,9,0.0,2.0,0.0
LMC,78.0,落馬洲,Lok Ma Chau,EAL,False,23,3,5,5,10,0.0,3.0,0.0
LOF,9.0,樂富,Lok Fu,KTL,False,20,2,5,4,9,1.0,4.0,5.0
LOP,117.0,朗屏,Long Ping,TML,False,21,3,5,4,9,0.0,8.0,0.0
LOW,76.0,羅湖,Lo Wu,EAL,False,23,3,5,5,10,0.0,0.0,1.0
MEF,20.0,美孚,Mei Foo,"TML,TWL",True,25,4,7,5,9,5.0,2.0,0.0
MKK,65.0,旺角東,Mong Kok East,EAL,False,21,2,5,4,10,0.0,1.0,0.0
MOK,6.0,旺角,Mong Kok,"KTL,TWL",True,20,2,5,4,9,0.0,3.0,0.0
MOS,102.0,馬鞍山,Ma On Shan,TML,False,21,2,5,4,10,2.0,3.0,0.0
NAC,53.0,南昌,Nam Cheong,"TCL,TML",True,21,2,6,4,9,0.0,4.0,0.0
NOP,31.0,北角,North Point,"ISL,TKL",True,20,2,5,4,9,2.0,5.0,0.0
NTK,14.0,牛頭角,Ngau Tau Kok,KTL,False,20,2,5,4,9,6.0,2.0,0.0
OCP,86.0,海洋公園,Ocean Park,SIL,False,19,3,5,4,7,4.0,0.0,0.0
OLY,41.0,奧運,Olympic,TCL,False,21,3,5,4,9,1.0,0.0,0.0
POA,52.0,寶琳,Po Lam,TKL,False,20,2,5,4,9,0.0,5.0,0.0
PRE,16.0,太子,Prince Edward,"KTL,TWL",True,21,3,5,4,9,1.0,2.0,0.0
QUB,32.0,鰂魚涌,Quarry Bay,"ISL,TKL",True,20,2,5,4,9,3.0,1.0,1.0
SHM,99.0,石門,Shek Mun,TML,False,22,2,6,4,10,3.0,2.0,0.0
SHS,75.0,上水,Sheung Shui,EAL,False,22,3,5,4,10,2.0,4.0,0.0
SHT,68.0,沙田,Sha Tin,EAL,False,22,3,5,4,10,2.0,3.0,0.0
SHW,26.0,上環,Sheung Wan,ISL,False,21,3,5,4,9,3.0,3.0,0.0
SIH,119.0,兆康,Siu Hong,TML,False,22,4,5,4,9,4.0,2.0,9.0
SKM,7.0,石硤尾,Shek Kip Mei,KTL,False,22,4,5,4,9,0.0,8.0,0.0
SKW,35.0,筲箕灣,Shau Kei Wan,ISL,False,21,3,5,4,9,3.0,6.0,0.0
SOH,89.0,海怡半島,South Horizons,SIL,False,18,2,5,4,7,2.0,4.0,0.0
SSP,17.0,深水埗,Sham Shui Po,TWL,False,20,3,5,4,8,1.0,4.0,0.0
STW,97.0,沙田圍,Sha Tin Wai,TML,False,21,2,5,4,10,3.0,8.0,0.0
SUN,54.0,欣澳,Sunny Bay,"DRL,TCL",True,20,2,5,4,9,1.0,1.0,0.0
SUW,92.0,宋皇臺,Sung Wong Toi,TML,False,22,4,5,4,9,1.0,0.0,0.0
SWH,34.0,西灣河,Sai Wan Ho,ISL,False,20,2,5,4,9,3.0,3.0,0.0
SYP,81.0,西營盤,Sai Ying Pun,ISL,False,21,3,5,4,9,9.0,4.0,0.0
TAK,33.0,太古,Tai Koo,ISL,False,21,2,5,5,9,2.0,3.0,0.0
TAP,72.0,大埔墟,Tai Po Market,EAL,False,21,2,5,4,10,1.0,2.0,0.0
TAW,67.0,大圍,Tai Wai,"EAL,TML",True,21,2,5,4,10,3.0,4.0,0.0
TIH,29.0,天后,Tin Hau,ISL,False,20,2,5,4,9,1.0,2.0,0.0
TIK,49.0,調景嶺,Tiu Keng Leng,"KTL,TKL",True,20,2,5,4,9,1.0,4.0,0.0
TIS,118.0,天水圍,Tin Shui Wai,TML,False,22,4,5,4,9,0.0,5.0,0.0
TKO,50.0,將軍澳,Tseung Kwan O,TKL,False,20,2,5,4,9,0.0,2.0,0.0
TKW,93.0,土瓜灣,To Kwa Wan,TML,False,21,3,5,4,9,3.0,7.0,0.0
TSH,100.0,大水坑,Tai Shui Hang,TML,False,22,2,6,4,10,2.0,4.0,0.0
TST,3.0,尖沙咀,Tsim Sha Tsui,TWL,False,21,3,5,4,9,0.0,1.0,0.0
TSW,25.0,荃灣,Tsuen Wan,TWL,False,21,3,5,4,9,1.0,9.0,2.0
TSY,46.0,青衣,Tsing Yi,"AEL,TCL",True,0,0,0,0,0,17.0,0.0,0.0
TUC,43.0,東涌,Tung Chung,TCL,False,19,3,4,4,8,3.0,3.0,0.0
TUM,120.0,屯門,Tuen Mun,TML,False,21,3,5,4,9,3.0,3.0,2.0
TWH,24.0,大窩口,Tai Wo Hau,TWL,False,20,2,5,4,9,0.0,10.0,0.0
TWO,73.0,太和,Tai Wo,EAL,False,21,2,5,4,10,0.0,8.0,0.0
TWW,114.0,荃灣西,Tsuen Wan West,TML,False,20,2,5,4,9,1.0,2.0,0.0
UNI,71.0,大學,University,EAL,False,23,4,5,4,10,2.0,0.0,0.0
WAC,27.0,灣仔,Wan Chai,ISL,False,20,2,5,4,9,0.0,6.0,0.0
WCH,87.0,黃竹坑,Wong Chuk Hang,SIL,False,19,3,5,4,7,5.0,1.0,0.0
WHA,85.0,黃埔,Whampoa,KTL,False,21,3,5,4,9,2.0,5.0,0.0
WKS,103.0,烏溪沙,Wu Kai Sha,TML,False,22,3,5,4,10,2.0,3.0,0.0
WTS,10.0,黃大仙,Wong Tai Sin,KTL,False,21,3,5,4,9,4.0,10.0,0.0
YAT,48.0,油塘,Yau Tong,"KTL,TKL",True,22,4,5,4,9,4.0,2.0,0.0
YMT,5.0,油麻地,Yau Ma Tei,"KTL,TWL",True,21,3,5,4,9,2.0,5.0,0.0
YUL,116.0,元朗,Yuen Long,TML,False,22,4,5,4,9,0.0,10.0,0.0
